index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm3,0.0,11.65600000001723,11.661088,0.0
1,task-1-1,vm1,0.001001,5.9060000000172295,5.906511,0.0
2,task-10-2,vm2,0.001001,21.625,21.630568,0.0
3,task-1-3,vm2,0.001001,21.98399999999674,21.987966,0.0
4,task-10-4,vm3,0.001001,23.0,23.010437,0.0
5,task-1-5,vm2,21.630568,0.4369999999762513,22.075147,21.625
6,task-1-6,vm1,5.906511,0.6869999999762513,6.606718,5.9060000000172295
7,task-10-7,vm2,21.987966,21.45299999997951,43.447481,21.98399999999674
8,task-1-8,vm2,22.075147,21.60899999999674,43.677982,22.06199999997625
9,task-10-9,vm1,6.606718,-1.0,37.683392,6.592999999993481
10,task-1-10,vm1,37.683392,6.032000000006519,43.712182,37.67099999997299
11,task-10-11,vm4,0.001001,6.452999999979511,6.46257,0.0
12,task-1-12,vm2,43.448163,0.45300000003771856,43.903432,43.43699999997625
13,task-10-13,vm3,0.001001,34.375,34.384253,0.0
14,task-1-14,vm1,43.712182,0.6560000000172295,44.359973,43.70299999997951
15,task-1-15,vm2,43.677982,0.45400000002700835,44.129663,43.67099999997299
16,task-10-16,vm4,0.001001,24.29599999997299,24.309503,0.0
17,task-10-17,vm4,0.002001,36.39000000001397,36.398455,0.0
18,task-1-18,vm2,43.903432,0.46899999998277053,44.370079,43.89000000001397
19,task-10-19,vm4,0.003,18.29599999997299,18.303004,0.0
20,task-1-20,vm2,44.129663,0.5,44.623695,44.125
21,task-1-21,vm1,44.359973,0.6720000000204891,45.034909,44.35899999999674
22,task-10-22,vm3,0.003,45.85899999999674,45.862976,0.0
23,task-10-23,vm4,0.004001,12.295999999972992,12.303299,0.0
24,task-1-24,vm1,45.034909,0.6559999999590218,45.695876,45.03100000001723
25,task-10-25,vm4,0.004001,30.34299999999348,30.355729,0.0
26,task-1-26,vm2,44.370079,0.4529999999795109,44.825514,44.35899999999674
27,task-10-27,vm4,0.004001,42.42099999997299,42.422282,0.0
28,task-10-28,vm4,0.004001,48.39000000001397,48.400924,0.0
29,task-10-29,vm4,6.46257,47.92200000002049,54.372574,6.452999999979511
