Percobaan Ke-,Average Start Time
1,17.547371056
2,17.098086327999997
3,19.368809028
4,21.082428752
5,20.403756444
6,19.637796676
7,22.531550604
8,20.644200336
9,24.434139012
10,21.262739967999998
