,Makespan,Throughput,Total CPU Time,Total Wait Time,Avg Execution Time,Avg Wait Time,Imbalance Degree,Resource Utilization
0,54.70300000003772,0.5301354587496117,483.36100000032457,325.6250000001746,16.667620689666364,11.228448275868091,2.0801016217691695,0.5890731160387197
1,53.875,0.5382830626450116,488.5809999999474,222.70800000010058,16.847620689653358,7.67958620690002,2.0839778869827437,0.6045859242072048
2,53.89100000000326,0.5381232487799121,471.5299999996787,291.1219999996247,16.259655172402713,10.038689655159471,2.1723156532991545,0.5833132310276301
3,54.06299999996554,0.5364112239427794,549.5339999998105,425.12899999978254,18.949448275855534,14.659620689647674,1.8333788264235498,0.6776464495128038
4,54.06200000003446,0.5364211460911826,472.5570000001462,366.1530000002822,16.295068965522283,12.62596551725111,2.1965350211726267,0.5827346380080217
5,53.92199999996228,0.5378138793075236,461.0489999996498,316.4249999996973,15.89824137929827,10.911206896541287,2.1841582998765654,0.5700196580245198
6,54.18800000002375,0.5351738392261625,501.01899999997113,203.84900000004563,17.276517241378315,7.02927586207054,2.089389823539791,0.6163960040350281
7,54.07799999997951,0.5362624357411699,503.1519999995944,162.26299999974435,17.350068965503255,5.59527586206015,2.04323146882101,0.6202793495812038
8,54.375,0.5333333333333333,485.74299999990035,468.27599999989616,16.74975862068622,16.147448275858487,2.07680193023857,0.5955469731799544
9,54.375,0.5333333333333333,474.3640000001178,484.0659999999334,16.35737931034889,16.69193103448046,2.1615889907325734,0.581595708812405
Average,54.15320000000065,0.535529096115002,489.0889999999141,326.56159999992815,16.86513793103152,11.26074482758373,2.0921479522855755,0.6021191052427491
