,Makespan,Throughput,Total CPU Time,Total Wait Time,Avg Execution Time,Avg Wait Time,Imbalance Degree,Resource Utilization
0,56.48399999999674,0.8852064301395596,720.5329999997048,842.5369999993709,14.410659999994095,16.850739999987418,1.9297325729700905,0.850427259636648
1,55.95400000002701,0.8935911641701374,647.1790000002948,698.6860000007437,12.943580000005895,13.973720000014874,1.6383844346003116,0.771084581382305
2,57.73500000004424,0.866025807568402,655.977000000421,776.8250000007101,13.119540000008419,15.536500000014202,1.5539020422973164,0.7574573482288829
3,56.25,0.8888888888888888,670.1969999999274,814.7649999997229,13.403939999998547,16.29529999999446,1.6352266572362584,0.7943075555554695
4,58.60899999999674,0.853111296899841,674.3290000002016,938.7500000005821,13.486580000004032,18.77500000001164,1.6351543534389286,0.7670369169697931
5,57.04700000002049,0.8764702788925279,676.0360000000801,763.978000000061,13.520720000001601,15.27956000000122,1.605512132489567,0.790033948615279
6,58.625,0.8528784648187633,688.1740000002319,923.7370000004885,13.763480000004638,18.47474000000977,1.6400328986566064,0.7825717128645139
7,56.95299999997951,0.8779168788302282,715.3429999996442,767.7479999990901,14.306859999992884,15.354959999981801,1.7646192106442506,0.8373489251369861
8,56.34399999998277,0.8874059349711645,718.0609999996377,780.5389999991748,14.361219999992754,15.610779999983498,1.8101637604603484,0.8496154574280105
9,56.67200000002049,0.8822699040087155,658.8850000000093,900.2039999997942,13.177700000000186,18.004079999995884,1.6320055851931499,0.7750858742703877
Average,57.067300000006796,0.8763765049188228,682.4714000000153,820.7768999999738,13.649428000000308,16.41553799999948,1.6844733647986825,0.7974969580088275
