index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm3,0.0,10.75,10.759628,0.0
1,task-1-1,vm2,0.000902,0.40599999998812564,0.413277,0.0
2,task-10-2,vm4,0.000902,11.280999999988126,11.278207,0.0
3,task-1-3,vm3,0.000902,10.875,10.880689,0.0
4,task-10-4,vm4,0.000902,16.890999999974156,16.900155,0.0
5,task-1-5,vm1,0.000902,0.6099999999860302,0.617027,0.0
6,task-1-6,vm1,0.617027,0.625,1.23279,0.6099999999860302
7,task-10-7,vm4,0.000902,6.030999999988126,6.041203,0.0
8,task-1-8,vm1,1.23279,1.125,2.370297,1.2349999999860302
9,task-10-9,vm1,2.370297,-1.0,32.830404,2.35999999998603
10,task-1-10,vm2,0.000902,0.6409999999741558,0.637819,0.0
11,task-10-11,vm3,0.001875,21.70299999997951,21.704996,0.0
12,task-1-12,vm3,0.0039,21.70299999997951,21.704996,0.0
13,task-10-13,vm4,0.0039,33.48499999998603,33.493741,0.0
14,task-1-14,vm3,10.759628,11.030999999988126,21.788992,10.75
15,task-1-15,vm2,0.413277,0.46900000001187436,0.883061,0.40599999998812564
16,task-10-16,vm4,0.0039,22.437999999994645,22.438904,0.0
17,task-10-17,vm2,0.637819,22.812000000005355,23.450528,0.6409999999741558
18,task-1-18,vm3,10.880689,11.030999999988126,21.909777,10.875
19,task-10-19,vm3,21.704996,11.125,32.831561,21.70299999997951
20,task-1-20,vm3,21.706006,11.125,32.831561,21.70299999997951
21,task-1-21,vm3,21.788992,11.046999999991385,32.831561,21.780999999988126
22,task-10-22,vm4,0.004904,39.296999999991385,39.299771,0.0
23,task-10-23,vm4,0.004904,27.921999999991385,27.929994,0.0
24,task-1-24,vm1,32.830988,4.89100000000326,37.72125,32.82799999997951
25,task-10-25,vm4,0.004904,44.515999999974156,44.51665,0.0
26,task-1-26,vm1,37.72125,0.5940000000118744,38.32158,37.71899999998277
27,task-10-27,vm2,0.883061,43.546999999991385,44.428845,0.875
28,task-10-28,vm4,6.041203,44.125,50.16778,6.030999999988126
29,task-10-29,vm3,21.909777,21.375,43.282759,21.905999999988126
