,Makespan,Throughput,Total CPU Time,Total Wait Time,Avg Execution Time,Avg Wait Time,Imbalance Degree,Resource Utilization
0,73.875,3.3840947546531304,636.7639999996754,7038.790000002657,2.547055999998702,28.155160000010625,1.1549396636737614,0.5746319232935593
1,46.73399999999674,5.349424401934725,515.8569999996689,4172.521999994584,2.0634279999986758,16.690087999978335,1.6697883328128305,0.7358768063218855
2,47.59299999999348,5.2528733217076935,468.6589999999269,4866.763000000967,1.8746359999997075,19.467052000003868,1.3445426205409083,0.6564816954874192
3,55.76600000000326,4.483018326578657,577.2639999999083,5648.545999999216,2.309055999999633,22.594183999996865,1.7890393303585,0.6901026910063175
4,49.29700000002049,5.071302513335418,470.09900000010384,4692.01999999996,1.8803960000004154,18.76807999999984,1.4312304429485783,0.6357371307245315
5,42.59299999999348,5.869509074261927,551.9950000001118,4634.31600000296,2.2079800000004473,18.53726400001184,1.8927852607364468,0.8639839097194316
6,48.28100000001723,5.178020339262045,493.170999999973,4894.0079999985755,1.972683999999892,19.576031999994303,1.3955646216011628,0.6809731916624165
7,47.76600000000326,5.233848344010027,496.26599999994505,4492.446999998996,1.9850639999997801,17.969787999995983,1.4787956458834826,0.6926349286101846
8,49.40600000001723,5.060114156173599,483.8009999996866,5414.69499999535,1.9352039999987465,21.6587799999814,1.3773845031317038,0.6528235436984953
9,50.04599999997299,4.995404228112834,479.59199999959674,4269.541999996232,1.918367999998387,17.07816799998493,1.4022335651972924,0.638868241217887
Average,51.13570000000182,4.9877609460030055,517.3467999998596,5012.36489999895,2.0693871999994387,20.0494595999958,1.4936303986884667,0.6822114061742128
