index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm1,0.0,15.76600000000326,15.75096,0.0
1,task-5-1,vm3,0.0,29.905999999988126,29.904516,0.0
2,task-8-2,vm4,0.000991,4.375,4.380696,0.0
3,task-2-3,vm4,0.000991,4.48399999999674,4.490821,0.0
4,task-10-4,vm3,0.000991,11.139999999984866,11.152527,0.0
5,task-3-5,vm4,0.000991,0.639999999984866,0.656346,0.0
6,task-4-6,vm4,0.000991,14.09299999999348,14.108763,0.0
7,task-4-7,vm4,0.000991,13.405999999988126,13.416668,0.0
8,task-7-8,vm4,0.002991,7.452999999979511,7.460897,0.0
9,task-3-9,vm4,0.002991,7.796999999991385,7.801715,0.0
10,task-9-10,vm4,0.003991,12.389999999984866,12.392582,0.0
11,task-1-11,vm1,15.75096,0.5929999999934807,16.352834,15.75
12,task-7-12,vm3,0.003991,15.889999999984866,15.895703,0.0
13,task-9-13,vm2,0.004964,18.625,18.630869,0.0
14,task-1-14,vm2,0.004964,0.42199999999138527,0.427569,0.0
15,task-8-15,vm4,0.656346,17.985000000015134,18.629846,0.639999999984866
16,task-2-16,vm4,4.380696,14.25,18.630869,4.375
17,task-5-17,vm2,0.427569,23.21799999999348,23.645133,0.42199999999138527
18,task-6-18,vm4,4.490821,15.405999999988126,19.900093,4.48399999999674
19,task-10-19,vm3,0.004964,26.530999999988126,26.540996,0.0
20,task-6-20,vm2,18.630869,12.671999999991385,31.307845,18.625
21,task-5-21,vm4,7.460897,14.03100000001723,21.493682,7.452999999979511
22,task-8-22,vm3,11.153067,24.78200000000652,35.929231,11.139999999984866
23,task-2-23,vm4,7.801715,13.76500000001397,21.573006,7.796999999991385
24,task-10-24,vm4,12.392582,15.047000000020489,27.438301,12.389999999984866
25,task-3-25,vm4,13.416668,14.203000000008615,27.619114,13.405999999988126
26,task-4-26,vm3,15.895703,21.75,37.648659,15.889999999984866
27,task-4-27,vm2,23.645133,10.860000000015134,34.508471,23.639999999984866
28,task-7-28,vm4,14.108763,16.219000000011874,30.322254,14.09299999999348
29,task-3-29,vm2,31.307845,5.1710000000020955,36.47319,31.296999999991385
30,task-9-30,vm3,26.540996,19.73399999999674,46.279829,26.530999999988126
31,task-1-31,vm4,18.629846,11.764999999984866,30.399476,18.625
32,task-7-32,vm4,18.631869,14.452999999979511,33.093977,18.625
33,task-9-33,vm4,19.900093,17.67200000002049,37.572836,19.889999999984866
34,task-1-34,vm1,16.352834,0.5320000000065193,16.889664,16.34299999999348
35,task-8-35,vm4,21.493682,19.625,41.110911,21.48399999999674
36,task-2-36,vm4,21.573006,19.82799999997951,41.39549,21.562000000005355
37,task-5-37,vm2,34.508471,7.389999999984866,41.902097,34.5
38,task-6-38,vm4,27.438301,16.171999999991385,43.616304,27.437000000005355
39,task-2-39,vm4,27.619114,16.030999999988126,43.641485,27.60899999999674
40,task-3-40,vm3,29.904516,17.375,47.27654,29.889999999984866
41,task-4-41,vm4,30.322254,14.23499999998603,44.549741,30.312000000005355
42,task-5-42,vm1,16.889664,10.764999999984866,27.65069,16.875
43,task-6-43,vm2,36.47319,13.10999999998603,49.585595,36.46799999999348
44,task-1-44,vm2,41.902097,7.89100000000326,49.782195,41.889999999984866
45,task-3-45,vm4,30.399476,14.687999999994645,45.091108,30.389999999984866
46,task-4-46,vm3,35.929231,13.01500000001397,48.94086,35.921999999991385
47,task-9-47,vm4,33.093977,16.5,49.585595,33.07799999997951
48,task-6-48,vm4,37.572836,14.155999999988126,51.727738,37.562000000005355
49,task-7-49,vm1,27.65069,20.985000000015134,48.637361,27.639999999984866
