,Makespan,Throughput,Total CPU Time,Total Wait Time,Avg Execution Time,Avg Wait Time,Imbalance Degree,Resource Utilization
0,44.530999999988126,5.614066605287702,551.7780000000494,4382.4100000030885,2.2071120000001976,17.529640000012353,1.8971542903123786,0.8260582515553906
1,38.078000000008615,6.56547087556971,546.8759999999893,4274.358999999124,2.187503999999957,17.097435999996495,1.9546368829493446,0.9574662534794642
2,43.046999999991385,5.80760564034776,545.3159999997879,4841.828999996942,2.1812639999991514,19.367315999987767,1.6808089254669487,0.844528073965506
3,61.187999999994645,4.085768451330684,583.0069999999832,5270.631000000023,2.332027999999933,21.08252400000009,1.2729315428460506,0.6352084286679679
4,58.485000000015134,4.274600324868518,551.7010000001173,5099.308000001009,2.2068040000004694,20.397232000004035,1.3500283668146196,0.6288803396882102
5,55.25,4.524886877828054,553.7449999999662,4907.461999998399,2.214979999999865,19.629847999993594,1.2376888278900666,0.6681689291100649
6,54.85999999998603,4.557054320088656,546.7160000001604,5630.821000002936,2.1868640000006416,22.523284000011742,1.1014640142229335,0.6643772025766188
7,47.35899999999674,5.278827677949645,552.7289999998757,5161.002999998018,2.2109159999995027,20.64401199999207,1.4554908463280085,0.7780696382946061
8,61.28200000000652,4.063183316470962,506.9910000000091,6100.368999999773,2.0361084337349764,24.499473895581417,1.3429824198062539,0.5515387878985185
9,55.546999999991385,4.500693106739136,553.0759999998554,5314.83299999786,2.212303999999422,21.25933199999144,1.1607735645731534,0.6637934241872543
Average,51.96269999999786,4.927215719648083,549.1934999999794,5098.302499999717,2.1975884433734114,20.4030097895571,1.4453959681209758,0.7218089329423603
