,Makespan,Throughput,Total CPU Time,Total Wait Time,Avg Execution Time,Avg Wait Time,Imbalance Degree,Resource Utilization
0,50.203000000008615,0.5776547218292736,475.37699999986216,184.15999999982887,16.392310344822832,6.350344827580306,2.066780681438455,0.6312730314918505
1,58.5,0.49572649572649574,496.33599999998114,247.13399999996182,17.11503448275797,8.5218620689642,1.777118726024276,0.5656250712250497
2,57.921999999991385,0.5006733192915354,478.20200000004843,388.014000000112,16.489724137932704,13.379793103452137,1.8566881777995843,0.5503976612227013
3,50.421999999991385,0.575145769703799,486.14100000000326,250.7500000000873,16.763482758620803,8.646551724140942,1.9161025299247605,0.6427630796082217
4,50.155999999988126,0.5781960283915557,463.4709999997867,189.06299999982002,15.981758620682301,6.519413793097242,2.0552828548064186,0.6160392907460676
5,50.65600000001723,0.5724889450408666,483.09000000017113,130.59000000014203,16.658275862074866,4.5031034482807595,2.024335010039516,0.6357785849652648
6,65.79699999999139,0.44074957824830613,510.60599999985425,224.94799999991665,17.607103448270838,7.756827586204023,1.6987109434671521,0.5173548945999779
7,50.45299999997951,0.5747923810281208,479.01299999986077,386.96799999987707,16.51768965516761,13.343724137926795,1.9698004020764874,0.6329494777318234
8,50.64100000000326,0.5726585178017443,456.74500000002445,145.13399999999092,15.74982758620774,5.0046206896548595,2.098378745251103,0.6012848614100499
9,50.328000000008615,0.5762199968207565,468.1050000000687,154.35399999999208,16.1415517241403,5.322551724137658,2.059879727839015,0.6200723255444134
Average,53.50779999999795,0.5464305753882454,479.7085999999661,230.11149999997286,16.541675862067798,7.934879310343891,1.9523077798666768,0.601353827854542
